,artist,title,year,danceability,energy,loudness,tempo,valence,image_url,in_billboard,in_billboard_index,similar artist 1,similar song 1,valence similar song 1,energy similar song 1,year similar song 1,distance 1,similar artist 2,similar song 2,valence similar song 2,energy similar song 2,year similar song 2,distance 2,similar artist 3,similar song 3,valence similar song 3,energy similar song 3,year similar song 3,distance 3,similar artist 4,similar song 4,valence similar song 4,energy similar song 4,year similar song 4,distance 4,similar artist 5,similar song 5,valence similar song 5,energy similar song 5,year similar song 5,distance 5
0,Queen,Bohemian Rhapsody,1975,0.379808,0.163675,-22.19,71.337,0.237069,http://img2-ak.lst.fm/i/u/300x300/43871b6b40f14f4d89360b68d9084802.png,Yes,"[1618, 3239]",Backstreet Boys,Incomplete,0.222167,0.15836800000000001,2005,0.015818781653464963,Andy Williams,The Village of St. Bernadette,0.24457800000000002,0.18123,1960,0.019093535712381843,Celine Dion,Because You Loved Me,0.22314200000000001,0.148953,1996,0.02026570040733849,Madonna,You Must Love Me,0.258436,0.16484799999999999,1997,0.021399173301789018,The Impressions,I'm So Proud,0.212373,0.152397,1964.0,0.0271493222752
1,Led Zeppelin,Stairway to Heaven,1971,0.338102,0.339565,-12.049,82.433,0.205086,http://img2-ak.lst.fm/i/u/300x300/1e6f99756d0342f891d3233ac1283d21.png,No,,Andy Gibb,(Our Love) Don't Throw It All Away,0.204736,0.33790900000000001,1979,0.0016925826420000774,Stevie B,Dream About You,0.20771900000000001,0.34099099999999999,1995,0.002994355523313836,Bruce Springsteen,I'm on Fire,0.200576,0.33693299999999998,1985,0.0052218314794715464,Ann Wilson and Robin Zander,Surrender To Me,0.19953299999999999,0.33869199999999999,1989,0.0056212043193607586,Billy Preston and Syreeta,With You I'm Born Again,0.196757,0.336987,1980.0,0.00871884883457
2,John Lennon,Imagine,1971,0.289874,0.406118,-11.824,145.095,0.256124,http://img2-ak.lst.fm/i/u/300x300/419d5500087d4b35b6f22e79c9a47c74.png,No,,Kenny Rogers,Lady,0.259017,0.40945599999999999,1981,0.0044172042062825137,The Righteous Brothers,(You're My) Soul and Inspiration,0.24787399999999998,0.397173,1966,0.012168628723073123,Sarah McLachlan,Adia,0.25278200000000001,0.41914899999999999,1998,0.013452729276990616,Emilio Pericoli,Al di la,0.27055899999999999,0.40632600000000002,1962,0.014436498502060647,James Taylor,You've Got a Friend,0.27184,0.402646,1971.0,0.016094950761
3,Nirvana,Smells like teen spirit,1991,0.452536,0.871809,-10.327,126.188,0.596938,http://img2-ak.lst.fm/i/u/300x300/fb27b5245fb7444ac4fd8cad6f0374e4.png,No,,Kiss,Forever,0.60416700000000001,0.86977900000000008,1990,0.0075086177822552697,Eden's Crush,Get Over Yourself,0.60675400000000002,0.87713299999999994,2001,0.011166863122650016,The Rascals,A Beautiful Morning,0.600136,0.86017299999999997,1968,0.012067464522425568,TLC,No Scrubs,0.597715,0.859518,1999,0.012315535311142533,Katy Perry featuring Juicy J,Dark Horse,0.598704,0.884505,2014.0,0.0128182359161
4,Eagles,Hotel California,1976,0.579199,0.516623,-10.566,147.723,0.644652,http://img2-ak.lst.fm/i/u/300x300/ec559161068a480699519195e06af1e7.png,Yes,[1719],Eagles,Hotel California,0.644652,0.51662299999999994,1977,1.1102230246251565e-16,Rick Springfield,Love Somebody,0.63961999999999997,0.51915699999999998,1984,0.0056340198792691519,Karla Bonoff,Personally,0.65357100000000001,0.51572600000000002,1982,0.0089639929718848092,Brooks & Dunn,Red Dirt Road,0.65222000000000002,0.52192799999999995,2003,0.0092421668995966069,Natural Selection,Do Anything,0.65568,0.515493,1991.0,0.0110857423748
5,Guns N' Roses,Sweet Child O' Mine,1987,0.703259,0.634488,-8.574,134.74,0.754677,http://img2-ak.lst.fm/i/u/300x300/eed51418bdbc41bc9aa959de2d65dd5d.png,No,,2Pac featuring Eric Williams,Do for Love,0.75975500000000007,0.638436,1998,0.0064321682191932671,Brenda Lee,That's All You Gotta Do,0.75977099999999997,0.644258,1960,0.011018245595374893,Stacey Q,Two of Hearts,0.74974200000000002,0.62455099999999997,1986,0.011094962550635397,Jay Sean featuring Lil Wayne,Down,0.74238400000000004,0.63104799999999994,2009,0.012765243789289756,Jay Sean featuring Lil Wayne,Down,0.742384,0.631048,2010.0,0.0127652437893
6,Metallica,One,1989,0.413753,0.843551,-7.582,103.763,0.427163,http://img2-ak.lst.fm/i/u/300x300/55bf2f31f75ac374ccdda18d6204824a.png,No,,Foreigner,I Want To Know What Love Is,0.42989700000000003,0.84248999999999996,1985,0.0029326569864203808,Bobby Brown,Humpin' Around,0.42277200000000004,0.84511100000000006,1992,0.0046598799340755361,Nicki Minaj featuring Drake,Moment 4 Life,0.430288,0.83843500000000004,2011,0.005994921267206103,"DJ Khaled featuring Drake, Rick Ross and Lil Wayne",I'm on One,0.42851499999999998,0.83336499999999991,2011,0.010275334544432252,Janet Jackson,Escapade,0.426047,0.833177,1990.0,0.0104338550881
7,Pink Floyd,Comfortably Numb,1979,0.454179,0.413954,-19.571,108.446,0.450844,http://img2-ak.lst.fm/i/u/300x300/6af6a9a0d246464f976bef5193823322.png,No,,Madonna,Justify My Love,0.45220900000000003,0.41719099999999998,1991,0.0035130320237652191,Supertramp,Give a Little Bit,0.45118900000000001,0.41795900000000002,1977,0.0040198320860454209,Chris Brown,Say Goodbye,0.445216,0.408495,2006,0.00784060361196765,No Doubt,Just a Girl,0.45776700000000003,0.41773900000000003,1996,0.0078901301636918799,The Cover Girls,We Can't Go Wrong,0.46143,0.409259,1990.0,0.0115804326776
8,Bob Dylan,Like a Rolling Stone,1965,0.118945,0.938624,-6.956,174.962,0.159969,http://img2-ak.lst.fm/i/u/300x300/c2312403b76a4d75b23b2b5134142d58.png,Yes,[540],Green Day,Wake Me Up When September Ends,0.17547699999999999,0.94942800000000005,2005,0.018900383064901109,Kim Wilde,Kids in America,0.15371899999999999,0.97622000000000009,1982,0.038111962898806535,Sia,Chandelier,0.19545799999999999,0.96118799999999993,2014,0.042054764498211092,John Lennon,Instant Karma!,0.198271,0.96021100000000004,1970,0.043966370932793639,Joey Dee and the Starliters,Shout,0.203999,0.928512,1962.0,0.0451762486712
9,The Beatles,Hey Jude,1968,0.464355,0.462577,-10.116,148.127,0.527583,http://img2-ak.lst.fm/i/u/300x300/c287f9f433293ca72d9866fb18b460a5.png,Yes,[800],Boyz II Men,End of the Road,0.52794700000000006,0.46806099999999995,1992,0.0054960669573795489,Linda Ronstadt,Hurt So Bad,0.53309099999999998,0.45669099999999996,1980,0.0080612071056387208,Dottie West & Kenny Rogers,What Are We Doin' in Love,0.52000000000000002,0.46999999999999997,1981,0.010611447497867549,Average White Band,Pick Up the Pieces,0.53530600000000006,0.47079199999999999,1975,0.011275236316813946,Olivia Newton-John,Have You Never Been Mellow,0.532448,0.475778,1975.0,0.0140689241238
